District,Predicted_price_m2,Last_price_m2,pct_change
barranco,4994.235865993688,5363.235805849966,-6.880173708823131
jesús maría,4113.294865251677,4081.882564976981,0.7695542381404388
la molina,3766.6306179726394,3769.152675277903,-0.0669131107849827
lince,4180.363837536857,4271.5548321402175,-2.1348431235674883
magdalena,4139.923701359439,4114.17846380479,0.6257686141023616
miraflores,5576.229187513432,5738.893843024711,-2.8344252387415696
pueblo libre,3763.211912399122,3818.904044048264,-1.458327598881095
san borja,4699.471955538092,4558.224461090944,3.098739337056304
san isidro,5631.476701453123,5999.528047733244,-6.134671650033869
san miguel,3588.5608752547055,3424.8124686905167,4.78123716440446
surco,4328.648810007221,4354.479117094759,-0.5931893664648393
